country,code,year,life_expectancy
United States,USA,1880,39.41
United States,USA,1890,45.209999
United States,USA,1901,49.299999
United States,USA,1902,50.5
United States,USA,1903,50.599998
United States,USA,1904,49.599998
United States,USA,1905,50.299999
United States,USA,1906,50.099998
United States,USA,1907,50.200001
United States,USA,1908,51.900002
United States,USA,1909,52.799999
United States,USA,1910,51.799999
United States,USA,1911,53.400002
United States,USA,1912,54.099998
United States,USA,1913,53.5
United States,USA,1914,54.599998
United States,USA,1915,55.099998
United States,USA,1916,54.200001
United States,USA,1917,54
United States,USA,1918,47.200001
United States,USA,1919,55.299999
United States,USA,1920,55.400002
United States,USA,1921,58.200001
United States,USA,1922,58.099998
United States,USA,1923,57.5
United States,USA,1924,58.5
United States,USA,1925,58.5
United States,USA,1926,57.900002
United States,USA,1927,59.400002
United States,USA,1928,58.299999
United States,USA,1929,58.5
United States,USA,1930,59.599998
United States,USA,1931,60.299999
United States,USA,1932,61
United States,USA,1933,60.880001
United States,USA,1934,60.23
United States,USA,1935,60.889999
United States,USA,1936,60.349998
United States,USA,1937,61.049999
United States,USA,1938,62.389999
United States,USA,1939,63.07
United States,USA,1940,63.23
United States,USA,1941,63.799999
United States,USA,1942,64.589996
United States,USA,1943,64.300003
United States,USA,1944,65.089996
United States,USA,1945,65.580002
United States,USA,1946,66.279999
United States,USA,1947,66.690002
United States,USA,1948,67.25
United States,USA,1949,67.629997
United States,USA,1950,68.206001
United States,USA,1951,68.342003
United States,USA,1952,68.605003
United States,USA,1953,68.847
United States,USA,1954,69.067001
United States,USA,1955,69.265999
United States,USA,1956,69.444
United States,USA,1957,69.599998
United States,USA,1958,69.735001
United States,USA,1959,69.848
United States,USA,1960,69.939003
United States,USA,1961,70.010002
United States,USA,1962,70.063004
United States,USA,1963,70.105003
United States,USA,1964,70.143997
United States,USA,1965,70.188004
United States,USA,1966,70.248001
United States,USA,1967,70.330002
United States,USA,1968,70.441002
United States,USA,1969,70.587997
United States,USA,1970,70.778
United States,USA,1971,71.017998
United States,USA,1972,71.302002
United States,USA,1973,71.623001
United States,USA,1974,71.971001
United States,USA,1975,72.333
United States,USA,1976,72.695999
United States,USA,1977,73.044998
United States,USA,1978,73.371002
United States,USA,1979,73.663002
United States,USA,1980,73.914001
United States,USA,1981,74.122002
United States,USA,1982,74.293999
United States,USA,1983,74.438004
United States,USA,1984,74.560997
United States,USA,1985,74.668999
United States,USA,1986,74.772003
United States,USA,1987,74.876999
United States,USA,1988,74.988998
United States,USA,1989,75.112999
United States,USA,1990,75.251999
United States,USA,1991,75.405998
United States,USA,1992,75.568001
United States,USA,1993,75.734001
United States,USA,1994,75.903
United States,USA,1995,76.07
United States,USA,1996,76.230003
United States,USA,1997,76.384003
United States,USA,1998,76.531998
United States,USA,1999,76.674004
United States,USA,2000,76.815002
United States,USA,2001,76.962997
United States,USA,2002,77.121002
United States,USA,2003,77.292
United States,USA,2004,77.474998
United States,USA,2005,77.667
United States,USA,2006,77.859001
United States,USA,2007,78.045998
United States,USA,2008,78.223
United States,USA,2009,78.387001
United States,USA,2010,78.539001
United States,USA,2011,78.681999
United States,USA,2012,78.820999
United States,USA,2013,78.959999
United States,USA,2014,79.099998
United States,USA,2015,79.244003
